neighbourhood_code,tax_assessment_year,property_type,median,count
1,2020.0,condo,801000.0,881
1,2020.0,detached,2810300.0,3374
1,2020.0,other,77558000.0,1
1,2021.0,condo,848000.0,915
1,2021.0,detached,2997000.0,3376
1,2021.0,other,80688000.0,1
1,2022.0,condo,920000.0,917
1,2022.0,detached,3473000.0,3380
1,2022.0,other,92469000.0,1
1,2023.0,condo,978940.0,917
1,2023.0,detached,3462000.0,3379
1,2024.0,condo,991000.0,921
1,2024.0,detached,3556000.0,3375
1,2024.0,other,52423000.0,1
1,2025.0,condo,1018000.0,931
1,2025.0,detached,3620000.0,3373
1,2025.0,other,52951000.0,1
1,2026.0,condo,995700.0,920
1,2026.0,detached,3379500.0,3370
1,2026.0,other,48677000.0,1
2,2020.0,condo,747000.0,10452
2,2020.0,detached,2263150.0,4088
2,2020.0,other,114500.0,6
2,2021.0,condo,785150.0,10486
2,2021.0,detached,2514000.0,4080
2,2021.0,other,117500.0,6
2,2022.0,condo,870500.0,10542
2,2022.0,detached,2843600.0,4075
2,2022.0,other,136500.0,6
2,2023.0,condo,926000.0,10425
2,2023.0,detached,2911000.0,4069
2,2023.0,other,145000.0,6
2,2024.0,condo,939200.0,10467
2,2024.0,detached,2930000.0,4062
2,2024.0,other,147000.0,6
2,2025.0,condo,940000.0,10548
2,2025.0,detached,2957000.0,4046
2,2025.0,other,147000.0,6
2,2026.0,condo,935000.0,10638
2,2026.0,detached,2794000.0,4025
2,2026.0,other,136500.0,6
3,2020.0,condo,745000.0,506
3,2020.0,detached,2628750.0,6210
3,2021.0,condo,773000.0,506
3,2021.0,detached,2814150.0,6210
3,2022.0,condo,829500.0,520
3,2022.0,detached,3255000.0,6207
3,2023.0,condo,881961.0,530
3,2023.0,detached,3238500.0,6202
3,2024.0,condo,986000.0,636
3,2024.0,detached,3369000.0,6185
3,2025.0,condo,1012900.0,670
3,2025.0,detached,3439000.0,6179
3,2026.0,condo,1066000.0,704
3,2026.0,detached,3213150.0,6168
4,2020.0,condo,1008000.0,1696
4,2020.0,detached,2945000.0,3003
4,2021.0,condo,1001000.0,1708
4,2021.0,detached,3161000.0,3001
4,2022.0,condo,1056000.0,1714
4,2022.0,detached,3595000.0,2992
4,2023.0,condo,1118000.0,1725
4,2023.0,detached,3548000.0,2992
4,2024.0,condo,1147000.0,1729
4,2024.0,detached,3673500.0,2977
4,2025.0,condo,1164819.0,1740
4,2025.0,detached,3729000.0,2971
4,2026.0,condo,1135000.0,1763
4,2026.0,detached,3394000.0,2964
5,2020.0,condo,1123000.0,1465
5,2020.0,detached,3181000.0,3323
5,2021.0,condo,1157000.0,1465
5,2021.0,detached,3247100.0,3324
5,2022.0,condo,1203000.0,1469
5,2022.0,detached,3713000.0,3320
5,2023.0,condo,1260000.0,1469
5,2023.0,detached,3754000.0,3321
5,2024.0,condo,1264000.0,1484
5,2024.0,detached,3847500.0,3310
5,2025.0,condo,1308000.0,1534
5,2025.0,detached,3935397.0,3305
5,2026.0,condo,1305500.0,1542
5,2026.0,detached,3631000.0,3303
6,2020.0,condo,979000.0,477
6,2020.0,detached,4107000.0,2305
6,2020.0,other,2109000.0,1
6,2021.0,condo,1087000.0,479
6,2021.0,detached,4325500.0,2304
6,2021.0,other,2245000.0,1
6,2022.0,condo,1276000.0,483
6,2022.0,detached,4875000.0,2303
6,2022.0,other,5154000.0,1
6,2023.0,condo,1457765.0,499
6,2023.0,detached,5056500.0,2300
6,2023.0,other,3439600.0,1
6,2024.0,condo,1558000.0,499
6,2024.0,detached,5158000.0,2295
6,2024.0,other,4039800.0,1
6,2025.0,condo,1490000.0,509
6,2025.0,detached,5210500.0,2294
6,2025.0,other,5507000.0,1
6,2026.0,condo,1449000.0,509
6,2026.0,detached,4711500.0,2294
6,2026.0,other,5202000.0,1
7,2020.0,condo,740950.0,12250
7,2020.0,detached,4888800.0,550
7,2021.0,condo,773000.0,12269
7,2021.0,detached,4731000.0,547
7,2022.0,condo,842000.0,12272
7,2022.0,detached,5036000.0,547
7,2023.0,condo,892000.0,12271
7,2023.0,detached,4860000.0,546
7,2024.0,condo,897000.0,12248
7,2024.0,detached,4592000.0,543
7,2025.0,condo,886000.0,12252
7,2025.0,detached,4462000.0,543
7,2026.0,condo,874000.0,12254
7,2026.0,detached,4321000.0,543
8,2020.0,condo,781000.0,1834
8,2020.0,detached,2502000.0,1302
8,2021.0,condo,815000.0,2099
8,2021.0,detached,2667000.0,1299
8,2022.0,condo,897000.0,2176
8,2022.0,detached,2989050.0,1298
8,2023.0,condo,968000.0,2176
8,2023.0,detached,3109600.0,1299
8,2024.0,condo,971000.0,2208
8,2024.0,detached,3219650.0,1298
8,2025.0,condo,996000.0,2464
8,2025.0,detached,3296000.0,1290
8,2026.0,condo,977000.0,2541
8,2026.0,detached,3120700.0,1287
9,2020.0,condo,1034500.0,1316
9,2020.0,detached,3040000.0,2439
9,2021.0,condo,1037000.0,1316
9,2021.0,detached,3202000.0,2413
9,2022.0,condo,1118000.0,1429
9,2022.0,detached,3596800.0,2397
9,2023.0,condo,1175088.0,1489
9,2023.0,detached,3664350.0,2378
9,2024.0,condo,1171000.0,1606
9,2024.0,detached,3794000.0,2342
9,2025.0,condo,1172800.0,1681
9,2025.0,detached,3817750.0,2326
9,2026.0,condo,1152700.0,1881
9,2026.0,detached,3523500.0,2326
10,2020.0,condo,713000.0,4444
10,2020.0,detached,2031000.0,3352
10,2020.0,other,1102778.0,2
10,2021.0,condo,743000.0,4540
10,2021.0,detached,2199000.0,3337
10,2021.0,other,1211772.0,2
10,2022.0,condo,803000.0,4679
10,2022.0,detached,2585900.0,3333
10,2022.0,other,1423328.0,2
10,2023.0,condo,854500.0,5132
10,2023.0,detached,2631000.0,3329
10,2024.0,condo,865000.0,5212
10,2024.0,detached,2733500.0,3309
10,2025.0,condo,844000.0,5293
10,2025.0,detached,2727000.0,3286
10,2026.0,condo,796000.0,5467
10,2026.0,detached,2449600.0,3267
11,2020.0,condo,768500.0,1796
11,2020.0,detached,1779000.0,4813
11,2021.0,condo,832500.0,2090
11,2021.0,detached,1967000.0,4763
11,2022.0,condo,939000.0,2173
11,2022.0,detached,2273600.0,4746
11,2023.0,condo,1007000.0,2285
11,2023.0,detached,2374000.0,4705
11,2024.0,condo,1037000.0,2385
11,2024.0,detached,2462000.0,4694
11,2025.0,condo,1004500.0,2624
11,2025.0,detached,2434500.0,4672
11,2026.0,condo,1013000.0,2745
11,2026.0,detached,2372000.0,4652
12,2020.0,condo,575000.0,712
12,2020.0,detached,1376400.0,6633
12,2021.0,condo,588000.0,724
12,2021.0,detached,1524600.0,6619
12,2022.0,condo,648500.0,1108
12,2022.0,detached,1792000.0,6608
12,2023.0,condo,805000.0,1048
12,2023.0,detached,1913000.0,6576
12,2024.0,condo,810000.0,1114
12,2024.0,detached,2007000.0,6554
12,2025.0,condo,808000.0,1180
12,2025.0,detached,1981600.0,6520
12,2026.0,condo,782000.0,1221
12,2026.0,detached,1881000.0,6502
13,2020.0,condo,662000.0,11204
13,2020.0,detached,1554400.0,1607
13,2020.0,other,9840000.0,1
13,2021.0,condo,682000.0,11285
13,2021.0,detached,1682000.0,1591
13,2021.0,other,8326000.0,1
13,2022.0,condo,732000.0,11986
13,2022.0,detached,1936000.0,1577
13,2022.0,other,8326000.0,1
13,2023.0,condo,787000.0,12014
13,2023.0,detached,2049650.0,1562
13,2023.0,other,9083000.0,1
13,2024.0,condo,776000.0,12139
13,2024.0,detached,2068850.0,1550
13,2024.0,other,9083000.0,1
13,2025.0,condo,767000.0,12324
13,2025.0,detached,2095000.0,1523
13,2025.0,other,21717000.0,1
13,2026.0,condo,736000.0,12406
13,2026.0,detached,1963000.0,1517
13,2026.0,other,14251000.0,1
14,2020.0,condo,536450.0,4274
14,2020.0,detached,1448300.0,3207
14,2020.0,other,6042500.0,2
14,2021.0,condo,538000.0,4325
14,2021.0,detached,1550900.0,3123
14,2021.0,other,5569000.0,2
14,2022.0,condo,600050.0,4370
14,2022.0,detached,1816000.0,3103
14,2022.0,other,5613000.0,2
14,2023.0,condo,643600.0,4411
14,2023.0,detached,1904000.0,3073
14,2023.0,other,5788000.0,2
14,2024.0,condo,659000.0,4459
14,2024.0,detached,1952750.0,3056
14,2024.0,other,5590000.0,2
14,2025.0,condo,661000.0,4583
14,2025.0,detached,1957000.0,3032
14,2025.0,other,5451500.0,2
14,2026.0,condo,657000.0,4795
14,2026.0,detached,1845000.0,3008
14,2026.0,other,5144000.0,2
15,2020.0,condo,537000.0,1021
15,2020.0,detached,1272000.0,7763
15,2021.0,condo,557000.0,1037
15,2021.0,detached,1374900.0,7749
15,2022.0,condo,621000.0,1089
15,2022.0,detached,1642000.0,7722
15,2023.0,condo,684000.0,1211
15,2023.0,detached,1765400.0,7689
15,2024.0,condo,706000.0,1358
15,2024.0,detached,1825900.0,7617
15,2025.0,condo,749000.0,1481
15,2025.0,detached,1835000.0,7556
15,2026.0,condo,793000.0,1603
15,2026.0,detached,1739900.0,7517
16,2020.0,condo,644000.0,3862
16,2020.0,detached,1332000.0,8694
16,2020.0,other,102370000.0,1
16,2021.0,condo,678000.0,3942
16,2021.0,detached,1485100.0,8663
16,2021.0,other,116407000.0,1
16,2022.0,condo,742000.0,4019
16,2022.0,detached,1713000.0,8647
16,2022.0,other,137271000.0,1
16,2023.0,condo,795000.0,4135
16,2023.0,detached,1825000.0,8603
16,2023.0,other,151462000.0,1
16,2024.0,condo,806000.0,4501
16,2024.0,detached,1900000.0,8551
16,2024.0,other,156133391.0,1
16,2025.0,condo,818000.0,4603
16,2025.0,detached,1898000.0,8510
16,2025.0,other,160530000.0,1
16,2026.0,condo,812000.0,4746
16,2026.0,detached,1825000.0,8477
16,2026.0,other,154740000.0,1
17,2020.0,condo,623000.0,4409
17,2020.0,detached,1451000.0,3368
17,2021.0,condo,656000.0,4676
17,2021.0,detached,1597000.0,3362
17,2022.0,condo,719000.0,5160
17,2022.0,detached,1892050.0,3352
17,2023.0,condo,795000.0,5443
17,2023.0,detached,2086000.0,3338
17,2024.0,condo,800000.0,5737
17,2024.0,detached,2165300.0,3326
17,2025.0,condo,809000.0,5769
17,2025.0,detached,2165800.0,3301
17,2026.0,condo,792100.0,5793
17,2026.0,detached,2047400.0,3293
18,2020.0,condo,634500.0,1122
18,2020.0,detached,1435900.0,5740
18,2021.0,condo,654500.0,1134
18,2021.0,detached,1591000.0,5735
18,2022.0,condo,732000.0,1185
18,2022.0,detached,1848000.0,5724
18,2023.0,condo,799000.0,1223
18,2023.0,detached,2028000.0,5706
18,2024.0,condo,808000.0,1267
18,2024.0,detached,2121100.0,5687
18,2025.0,condo,828000.0,1311
18,2025.0,detached,2120000.0,5666
18,2026.0,condo,862000.0,1337
18,2026.0,detached,2026000.0,5653
19,2020.0,condo,663000.0,1408
19,2020.0,detached,1534900.0,897
19,2021.0,condo,680500.0,1418
19,2021.0,detached,1624000.0,895
19,2022.0,condo,708500.0,1420
19,2022.0,detached,1632000.0,899
19,2023.0,condo,770500.0,1420
19,2023.0,detached,1721501.0,898
19,2024.0,condo,761000.0,1420
19,2024.0,detached,1772000.0,901
19,2025.0,condo,762000.0,1505
19,2025.0,detached,1725000.0,895
19,2026.0,condo,717000.0,1505
19,2026.0,detached,1620550.0,898
20,2020.0,condo,469000.0,6132
20,2020.0,detached,1277400.0,8471
20,2021.0,condo,490000.0,6195
20,2021.0,detached,1389000.0,8447
20,2022.0,condo,530000.0,6679
20,2022.0,detached,1649200.0,8438
20,2023.0,condo,581000.0,6799
20,2023.0,detached,1771200.0,8397
20,2024.0,condo,590000.0,6967
20,2024.0,detached,1879000.0,8358
20,2025.0,condo,595000.0,7062
20,2025.0,detached,1870000.0,8285
20,2026.0,condo,581150.0,7212
20,2026.0,detached,1785200.0,8257
21,2020.0,condo,724000.0,40676
21,2020.0,detached,9761000.0,824
21,2020.0,other,15978000.0,1
21,2021.0,condo,744000.0,40983
21,2021.0,detached,9159100.0,810
21,2021.0,other,15039000.0,1
21,2022.0,condo,776000.0,41299
21,2022.0,detached,9346900.0,805
21,2022.0,other,13593000.0,1
21,2023.0,condo,809000.0,41880
21,2023.0,detached,9261000.0,783
21,2023.0,other,12591000.0,1
21,2024.0,condo,804000.0,42018
21,2024.0,detached,9270000.0,761
21,2024.0,other,10193000.0,1
21,2025.0,condo,775000.0,42018
21,2025.0,detached,9093500.0,760
21,2025.0,other,9729000.0,1
21,2026.0,condo,734000.0,42020
21,2026.0,detached,7837000.0,759
21,2026.0,other,9729000.0,1
22,2020.0,condo,691000.0,9193
22,2020.0,detached,14404000.0,611
22,2020.0,other,1383778600.0,2
22,2021.0,condo,709000.0,9082
22,2021.0,detached,13909000.0,608
22,2021.0,other,1520848800.0,2
22,2022.0,condo,757000.0,9226
22,2022.0,detached,15357000.0,607
22,2022.0,other,1748380950.0,2
22,2023.0,condo,783000.0,9092
22,2023.0,detached,14367000.0,603
22,2023.0,other,1789409200.0,2
22,2024.0,condo,794500.0,9236
22,2024.0,detached,13957400.0,597
22,2024.0,other,1808632059.0,2
22,2025.0,condo,819000.0,9816
22,2025.0,detached,13561250.0,596
22,2025.0,other,1824377550.0,2
22,2026.0,condo,799000.0,9816
22,2026.0,detached,11614000.0,596
22,2026.0,other,1712232400.0,2
1,2020.0,all,2491500.0,4256
1,2021.0,all,2643000.0,4292
1,2022.0,all,3090500.0,4298
1,2023.0,all,3119700.0,4296
1,2024.0,all,3183000.0,4297
1,2025.0,all,3240000.0,4305
1,2026.0,all,3017000.0,4291
2,2020.0,all,1007000.0,14546
2,2021.0,all,1059000.0,14572
2,2022.0,all,1175000.0,14623
2,2023.0,all,1276000.0,14500
2,2024.0,all,1280200.0,14535
2,2025.0,all,1278000.0,14600
2,2026.0,all,1242400.0,14669
3,2020.0,all,2548000.0,6716
3,2021.0,all,2730550.0,6716
3,2022.0,all,3173000.0,6727
3,2023.0,all,3157500.0,6732
3,2024.0,all,3261000.0,6821
3,2025.0,all,3326100.0,6849
3,2026.0,all,3097000.0,6872
4,2020.0,all,2349000.0,4699
4,2021.0,all,2515000.0,4709
4,2022.0,all,2948500.0,4706
4,2023.0,all,2939000.0,4717
4,2024.0,all,3034000.0,4706
4,2025.0,all,3106800.0,4711
4,2026.0,all,2854000.0,4727
5,2020.0,all,2622000.0,4788
5,2021.0,all,2688000.0,4789
5,2022.0,all,3100500.0,4789
5,2023.0,all,3162100.0,4790
5,2024.0,all,3218500.0,4794
5,2025.0,all,3286000.0,4839
5,2026.0,all,3062500.0,4845
6,2020.0,all,3758000.0,2783
6,2021.0,all,3972000.0,2784
6,2022.0,all,4474000.0,2787
6,2023.0,all,4597026.0,2800
6,2024.0,all,4658800.0,2795
6,2025.0,all,4701500.0,2804
6,2026.0,all,4331550.0,2804
7,2020.0,all,757000.0,12800
7,2021.0,all,790050.0,12816
7,2022.0,all,862000.0,12819
7,2023.0,all,913000.0,12817
7,2024.0,all,920100.0,12791
7,2025.0,all,907000.0,12795
7,2026.0,all,896000.0,12797
8,2020.0,all,1342000.0,3136
8,2021.0,all,1327000.0,3398
8,2022.0,all,1370000.0,3474
8,2023.0,all,1467000.0,3475
8,2024.0,all,1465500.0,3506
8,2025.0,all,1475000.0,3754
8,2026.0,all,1432000.0,3828
9,2020.0,all,2573300.0,3755
9,2021.0,all,2784000.0,3729
9,2022.0,all,2956000.0,3826
9,2023.0,all,3009900.0,3867
9,2024.0,all,3058500.0,3948
9,2025.0,all,3075100.0,4007
9,2026.0,all,2683800.0,4207
10,2020.0,all,1268000.0,7798
10,2021.0,all,1301000.0,7879
10,2022.0,all,1400000.0,8014
10,2023.0,all,1455000.0,8461
10,2024.0,all,1462000.0,8521
10,2025.0,all,1432000.0,8579
10,2026.0,all,1322000.0,8734
11,2020.0,all,1563000.0,6609
11,2021.0,all,1709000.0,6853
11,2022.0,all,1970000.0,6919
11,2023.0,all,2041800.0,6990
11,2024.0,all,2088000.0,7079
11,2025.0,all,2031900.0,7296
11,2026.0,all,1954000.0,7397
12,2020.0,all,1346400.0,7345
12,2021.0,all,1489600.0,7343
12,2022.0,all,1736000.0,7716
12,2023.0,all,1854000.0,7624
12,2024.0,all,1949700.0,7668
12,2025.0,all,1916000.0,7700
12,2026.0,all,1817300.0,7723
13,2020.0,all,713500.0,12812
13,2021.0,all,733000.0,12877
13,2022.0,all,777000.0,13564
13,2023.0,all,838000.0,13577
13,2024.0,all,833000.0,13690
13,2025.0,all,823000.0,13848
13,2026.0,all,785150.0,13924
14,2020.0,all,1030000.0,7483
14,2021.0,all,1089000.0,7450
14,2022.0,all,1222000.0,7475
14,2023.0,all,1303650.0,7486
14,2024.0,all,1326000.0,7517
14,2025.0,all,1333000.0,7617
14,2026.0,all,1246000.0,7805
15,2020.0,all,1247000.0,8784
15,2021.0,all,1346300.0,8786
15,2022.0,all,1611900.0,8811
15,2023.0,all,1728000.0,8900
15,2024.0,all,1785100.0,8975
15,2025.0,all,1790000.0,9037
15,2026.0,all,1689850.0,9120
16,2020.0,all,1227800.0,12557
16,2021.0,all,1362500.0,12606
16,2022.0,all,1567000.0,12667
16,2023.0,all,1673600.0,12739
16,2024.0,all,1730400.0,13053
16,2025.0,all,1721850.0,13114
16,2026.0,all,1640350.0,13224
17,2020.0,all,819000.0,7777
17,2021.0,all,843000.0,8038
17,2022.0,all,933000.0,8512
17,2023.0,all,999000.0,8781
17,2024.0,all,981000.0,9063
17,2025.0,all,989000.0,9070
17,2026.0,all,989000.0,9086
18,2020.0,all,1374950.0,6862
18,2021.0,all,1521000.0,6869
18,2022.0,all,1770000.0,6909
18,2023.0,all,1936000.0,6929
18,2024.0,all,2020000.0,6954
18,2025.0,all,2007000.0,6977
18,2026.0,all,1909000.0,6990
19,2020.0,all,901000.0,2305
19,2021.0,all,924000.0,2313
19,2022.0,all,1006000.0,2319
19,2023.0,all,1064000.0,2318
19,2024.0,all,1063000.0,2321
19,2025.0,all,1068500.0,2400
19,2026.0,all,1072000.0,2403
20,2020.0,all,1098400.0,14603
20,2021.0,all,1200900.0,14642
20,2022.0,all,1410200.0,15117
20,2023.0,all,1514000.0,15196
20,2024.0,all,1587900.0,15325
20,2025.0,all,1577400.0,15347
20,2026.0,all,1494400.0,15469
21,2020.0,all,731000.0,41501
21,2021.0,all,751000.0,41794
21,2022.0,all,785000.0,42105
21,2023.0,all,818000.0,42664
21,2024.0,all,813000.0,42780
21,2025.0,all,783000.0,42779
21,2026.0,all,742000.0,42780
22,2020.0,all,715000.0,9806
22,2021.0,all,734000.0,9692
22,2022.0,all,782000.0,9835
22,2023.0,all,807000.0,9697
22,2024.0,all,821000.0,9835
22,2025.0,all,843000.0,10414
22,2026.0,all,825000.0,10414
